"SR- LS GR-L"|"Yes"|"Yes"|"Stratified loamy sand to gravelly loam"|"7933867"|"15149498"
"CL"|"No "|"No "|"Clay loam"|"7963905"|"15459355"
"L"|"No "|"No "|"Loam"|"7963906"|"15163012"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963906"|"15311184"
"CL"|"No "|"No "|"Clay loam"|"7963906"|"15607526"
"SIL"|"No "|"Yes"|"Silt loam"|"7963907"|"15459356"
"SIL"|"No "|"Yes"|"Silt loam"|"7963908"|"15607527"
"SIL"|"No "|"Yes"|"Silt loam"|"7963909"|"15163013"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963910"|"15311185"
"SIL"|"No "|"Yes"|"Silt loam"|"7963911"|"15459357"
"SIL"|"No "|"No "|"Silt loam"|"7963912"|"15163014"
"SICL"|"No "|"No "|"Silty clay loam"|"7963912"|"15607528"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963913"|"15311186"
"L"|"No "|"Yes"|"Loam"|"7963914"|"15459358"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7963915"|"15163015"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7963915"|"15311187"
"GR-L"|"No "|"No "|"Gravelly loam"|"7963915"|"15607529"
"L"|"No "|"No "|"Loam"|"7963916"|"15163016"
"SIC"|"No "|"No "|"Silty clay"|"7963916"|"15459359"
"SICL"|"No "|"No "|"Silty clay loam"|"7963916"|"15607530"
"SICL"|"No "|"No "|"Silty clay loam"|"7963917"|"15311188"
"SIL"|"No "|"No "|"Silt loam"|"7963917"|"15459360"
"CL"|"No "|"No "|"Clay loam"|"7963918"|"15163017"
"GR-L"|"No "|"No "|"Gravelly loam"|"7963918"|"15311189"
"L"|"No "|"No "|"Loam"|"7963918"|"15607531"
"CL"|"No "|"No "|"Clay loam"|"7963919"|"15163018"
"SIL"|"No "|"No "|"Silt loam"|"7963919"|"15459361"
"SICL"|"No "|"No "|"Silty clay loam"|"7963919"|"15607532"
"SICL"|"No "|"No "|"Silty clay loam"|"7963920"|"15311190"
"SIL"|"No "|"No "|"Silt loam"|"7963920"|"15459362"
"L"|"No "|"No "|"Loam"|"7963920"|"15607533"
"SICL"|"No "|"No "|"Silty clay loam"|"7963921"|"15163019"
"SIL"|"No "|"No "|"Silt loam"|"7963921"|"15311191"
"L"|"No "|"No "|"Loam"|"7963922"|"15459363"
"CL"|"No "|"No "|"Clay loam"|"7963922"|"15607534"
"SIL"|"No "|"Yes"|"Silt loam"|"7963923"|"15163020"
"SIC"|"No "|"Yes"|"Silty clay"|"7963924"|"15311192"
"SIL"|"No "|"Yes"|"Silt loam"|"7963925"|"15459364"
"SIL"|"No "|"Yes"|"Silt loam"|"7963926"|"15607535"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963927"|"15163021"
"SICL"|"No "|"No "|"Silty clay loam"|"7963928"|"15311193"
"SIL"|"No "|"No "|"Silt loam"|"7963928"|"15459365"
"CL"|"No "|"No "|"Clay loam"|"7963929"|"15163022"
"L"|"No "|"No "|"Loam"|"7963929"|"15607536"
"SICL"|"No "|"No "|"Silty clay loam"|"7963930"|"15311194"
"SIL"|"No "|"No "|"Silt loam"|"7963930"|"15459366"
"CL"|"No "|"No "|"Clay loam"|"7963931"|"15163023"
"L"|"No "|"No "|"Loam"|"7963931"|"15607537"
"L"|"No "|"No "|"Loam"|"7963932"|"15311195"
"CL"|"No "|"No "|"Clay loam"|"7963932"|"15459367"
"CL"|"No "|"No "|"Clay loam"|"7963933"|"15163024"
"L"|"No "|"No "|"Loam"|"7963933"|"15607538"
"CL"|"No "|"Yes"|"Clay loam"|"7963934"|"15311196"
"L"|"No "|"No "|"Loam"|"7963935"|"15459368"
"CL"|"No "|"No "|"Clay loam"|"7963935"|"15607539"
"SR- LS SICL"|"Yes"|"Yes"|"Stratified loamy sand to silty clay loam"|"7963936"|"15163025"
"SR- SL SICL"|"Yes"|"Yes"|"Stratified sandy loam to silty clay loam"|"7963937"|"15311197"
"CL"|"No "|"Yes"|"Clay loam"|"7963938"|"15459369"
"CL"|"No "|"No "|"Clay loam"|"7963939"|"15163026"
"L"|"No "|"No "|"Loam"|"7963939"|"15607540"
"CL"|"No "|"No "|"Clay loam"|"7963940"|"15311198"
"C"|"No "|"No "|"Clay"|"7963940"|"15459370"
"SIC"|"No "|"Yes"|"Silty clay"|"7963941"|"15607541"
"L"|"No "|"No "|"Loam"|"7963942"|"15163027"
"CL"|"No "|"No "|"Clay loam"|"7963942"|"15311199"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963942"|"15459371"
"C"|"No "|"No "|"Clay"|"7963943"|"15163028"
"CL"|"No "|"No "|"Clay loam"|"7963943"|"15607542"
"L"|"No "|"No "|"Loam"|"7963944"|"15311200"
"CL"|"No "|"No "|"Clay loam"|"7963944"|"15459372"
"SICL"|"No "|"No "|"Silty clay loam"|"7963944"|"15607543"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963945"|"15163029"
"L"|"No "|"No "|"Loam"|"7963945"|"15311201"
"SL"|"No "|"No "|"Sandy loam"|"7963945"|"15459373"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963946"|"15607544"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7963947"|"15163030"
"SICL"|"No "|"No "|"Silty clay loam"|"7963948"|"15311202"
"SIL"|"No "|"No "|"Silt loam"|"7963948"|"15459374"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963949"|"15163031"
"SL"|"No "|"No "|"Sandy loam"|"7963949"|"15607545"
"L"|"No "|"No "|"Loam"|"7963950"|"15311203"
"CL"|"No "|"No "|"Clay loam"|"7963950"|"15459375"
"SICL"|"No "|"No "|"Silty clay loam"|"7963950"|"15607546"
"SL"|"No "|"No "|"Sandy loam"|"7963951"|"15163032"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963951"|"15311204"
"SIC"|"No "|"No "|"Silty clay"|"7963952"|"15163033"
"CL"|"No "|"No "|"Clay loam"|"7963952"|"15459376"
"SCL"|"No "|"No "|"Sandy clay loam"|"7963952"|"15607547"
"SIC"|"No "|"Yes"|"Silty clay"|"7963953"|"15311205"
"SIL"|"No "|"No "|"Silt loam"|"7963954"|"15459377"
"SICL"|"No "|"No "|"Silty clay loam"|"7963954"|"15607548"
"SIL"|"No "|"No "|"Silt loam"|"7963955"|"15163034"
"SICL"|"No "|"No "|"Silty clay loam"|"7963955"|"15311206"
"L"|"No "|"No "|"Loam"|"7963956"|"15163035"
"SIL"|"No "|"No "|"Silt loam"|"7963956"|"15459378"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7963956"|"15607549"
"SR- SL SICL"|"Yes"|"Yes"|"Stratified sandy loam to silty clay loam"|"7963957"|"15311207"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963958"|"15459379"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963959"|"15607550"
"SIL"|"No "|"No "|"Silt loam"|"7963960"|"15163036"
"SICL"|"No "|"No "|"Silty clay loam"|"7963960"|"15311208"
"SIC"|"No "|"No "|"Silty clay"|"7963961"|"15163037"
"CL"|"No "|"No "|"Clay loam"|"7963961"|"15459380"
"SICL"|"No "|"No "|"Silty clay loam"|"7963961"|"15607551"
"SIC"|"No "|"No "|"Silty clay"|"7963962"|"15311209"
"SICL"|"No "|"No "|"Silty clay loam"|"7963962"|"15459381"
"C"|"No "|"No "|"Clay"|"7963963"|"15163038"
"SICL"|"No "|"No "|"Silty clay loam"|"7963963"|"15311210"
"SIC"|"No "|"No "|"Silty clay"|"7963963"|"15607552"
"C"|"No "|"No "|"Clay"|"7963964"|"15163039"
"SICL"|"No "|"No "|"Silty clay loam"|"7963964"|"15459382"
"CL"|"No "|"No "|"Clay loam"|"7963964"|"15607553"
"SIL"|"No "|"No "|"Silt loam"|"7963965"|"15311211"
"SICL"|"No "|"No "|"Silty clay loam"|"7963965"|"15459383"
"C"|"No "|"No "|"Clay"|"7963966"|"15163040"
"SIC"|"No "|"No "|"Silty clay"|"7963966"|"15607554"
"L"|"No "|"No "|"Loam"|"7963967"|"15311212"
"CL"|"No "|"No "|"Clay loam"|"7963967"|"15459384"
"L"|"No "|"Yes"|"Loam"|"7963968"|"15607555"
"L"|"No "|"Yes"|"Loam"|"7963969"|"15163041"
"SIL"|"No "|"Yes"|"Silt loam"|"7963970"|"15311213"
"L"|"No "|"No "|"Loam"|"7963971"|"15459385"
"CL"|"No "|"No "|"Clay loam"|"7963971"|"15607556"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7963972"|"15163042"
"GR-S"|"No "|"No "|"Gravelly sand"|"7963972"|"15311214"
"GRV-COS"|"No "|"No "|"Very gravelly coarse sand"|"7963972"|"15459386"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963973"|"15607557"
"C"|"No "|"No "|"Clay"|"7963974"|"15163043"
"SIC"|"No "|"No "|"Silty clay"|"7963974"|"15311215"
"CL"|"No "|"No "|"Clay loam"|"7963975"|"15459387"
"C"|"No "|"No "|"Clay"|"7963975"|"15607558"
"SIC"|"No "|"No "|"Silty clay"|"7963976"|"15163044"
"C"|"No "|"No "|"Clay"|"7963976"|"15311216"
"CL"|"No "|"No "|"Clay loam"|"7963976"|"15459388"
"L"|"No "|"Yes"|"Loam"|"7963977"|"15607559"
"L"|"No "|"Yes"|"Loam"|"7963978"|"15163045"
"L"|"No "|"No "|"Loam"|"7963979"|"15311217"
"CL"|"No "|"No "|"Clay loam"|"7963979"|"15459389"
"L"|"No "|"No "|"Loam"|"7963980"|"15163046"
"CL"|"No "|"No "|"Clay loam"|"7963980"|"15607560"
"CL"|"No "|"No "|"Clay loam"|"7963981"|"15311218"
"L"|"No "|"No "|"Loam"|"7963981"|"15459390"
"L"|"No "|"No "|"Loam"|"7963982"|"15163047"
"CL"|"No "|"No "|"Clay loam"|"7963982"|"15607561"
"SIC"|"No "|"No "|"Silty clay"|"7963983"|"15311219"
"C"|"No "|"No "|"Clay"|"7963983"|"15459391"
"CL"|"No "|"No "|"Clay loam"|"7963983"|"15607562"
"SIC"|"No "|"No "|"Silty clay"|"7963984"|"15163048"
"SICL"|"No "|"No "|"Silty clay loam"|"7963984"|"15311220"
"CL"|"No "|"No "|"Clay loam"|"7963984"|"15459392"
"L"|"No "|"Yes"|"Loam"|"7963985"|"15607563"
"C"|"No "|"No "|"Clay"|"7963986"|"15163049"
"SIC"|"No "|"No "|"Silty clay"|"7963986"|"15311221"
"CL"|"No "|"No "|"Clay loam"|"7963986"|"15459393"
"SIL"|"No "|"No "|"Silt loam"|"7963987"|"15163050"
"SICL"|"No "|"No "|"Silty clay loam"|"7963987"|"15607564"
"L"|"No "|"No "|"Loam"|"7963988"|"15311222"
"CL"|"No "|"No "|"Clay loam"|"7963988"|"15459394"
"SCL"|"No "|"No "|"Sandy clay loam"|"7963988"|"15607565"
"CL"|"No "|"No "|"Clay loam"|"7963989"|"15163051"
"C"|"No "|"No "|"Clay"|"7963989"|"15311223"
"CL"|"No "|"No "|"Clay loam"|"7963990"|"15459395"
"L"|"No "|"No "|"Loam"|"7963990"|"15607566"
"CL"|"No "|"No "|"Clay loam"|"7963991"|"15163052"
"L"|"No "|"No "|"Loam"|"7963991"|"15311224"
"LS"|"No "|"No "|"Loamy sand"|"7963992"|"15163053"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963992"|"15459396"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963992"|"15607567"
"SIL"|"No "|"Yes"|"Silt loam"|"7963993"|"15311225"
"L"|"No "|"No "|"Loam"|"7963994"|"15459397"
"SIL"|"No "|"No "|"Silt loam"|"7963994"|"15607568"
"L"|"No "|"No "|"Loam"|"7963995"|"15163054"
"CL"|"No "|"No "|"Clay loam"|"7963995"|"15311226"
"CL"|"No "|"No "|"Clay loam"|"7963996"|"15163055"
"SIC"|"No "|"No "|"Silty clay"|"7963996"|"15459398"
"C"|"No "|"No "|"Clay"|"7963996"|"15607569"
"L"|"No "|"No "|"Loam"|"7963997"|"15311227"
"CL"|"No "|"No "|"Clay loam"|"7963997"|"15459399"
"SR- FSL SIL"|"Yes"|"Yes"|"Stratified fine sandy loam to silt loam"|"7963998"|"15607570"
"L"|"No "|"Yes"|"Loam"|"7963999"|"15163056"
"SIL"|"No "|"Yes"|"Silt loam"|"7964000"|"15311228"
"L"|"No "|"Yes"|"Loam"|"7964001"|"15459400"
"CL"|"No "|"Yes"|"Clay loam"|"7964002"|"15607571"
"L"|"No "|"No "|"Loam"|"7964003"|"15163057"
"SICL"|"No "|"No "|"Silty clay loam"|"7964003"|"15311229"
"CL"|"No "|"No "|"Clay loam"|"7964003"|"15459401"
"L"|"No "|"No "|"Loam"|"7964004"|"15163058"
"CL"|"No "|"No "|"Clay loam"|"7964004"|"15607572"
"SICL"|"No "|"No "|"Silty clay loam"|"7964005"|"15311230"
"CL"|"No "|"No "|"Clay loam"|"7964005"|"15459402"
"C"|"No "|"No "|"Clay"|"7964005"|"15607573"
"L"|"No "|"No "|"Loam"|"7964006"|"15163059"
"CL"|"No "|"No "|"Clay loam"|"7964006"|"15311231"
"GRV-COS"|"No "|"No "|"Very gravelly coarse sand"|"7964007"|"15163060"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7964007"|"15459403"
"GR-S"|"No "|"No "|"Gravelly sand"|"7964007"|"15607574"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7964008"|"15311232"
"SIC"|"No "|"No "|"Silty clay"|"7964009"|"15163061"
"CL"|"No "|"No "|"Clay loam"|"7964009"|"15459404"
"SICL"|"No "|"No "|"Silty clay loam"|"7964009"|"15607575"
"SR- VFSL SIC"|"Yes"|"Yes"|"Stratified very fine sandy loam to silty clay"|"7964010"|"15311233"
"L"|"No "|"Yes"|"Loam"|"7964011"|"15459405"
"SICL"|"No "|"No "|"Silty clay loam"|"7964012"|"15163062"
"CL"|"No "|"No "|"Clay loam"|"7964012"|"15311234"
"SIL"|"No "|"No "|"Silt loam"|"7964012"|"15607576"
"L"|"No "|"No "|"Loam"|"7964013"|"15459406"
"CL"|"No "|"No "|"Clay loam"|"7964013"|"15607577"
"L"|"No "|"Yes"|"Loam"|"7964014"|"15163063"
"SIC"|"No "|"No "|"Silty clay"|"7964015"|"15311235"
"SICL"|"No "|"No "|"Silty clay loam"|"7964015"|"15459407"
"CL"|"No "|"No "|"Clay loam"|"7964015"|"15607578"
"L"|"No "|"No "|"Loam"|"7964016"|"15163064"
"CL"|"No "|"No "|"Clay loam"|"7964016"|"15311236"
"L"|"No "|"No "|"Loam"|"7964017"|"15459408"
"CL"|"No "|"No "|"Clay loam"|"7964017"|"15607579"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7964018"|"15163065"
"L"|"No "|"No "|"Loam"|"7964019"|"15311237"
"CL"|"No "|"No "|"Clay loam"|"7964019"|"15459409"
"L"|"No "|"No "|"Loam"|"7964020"|"15163066"
"SICL"|"No "|"No "|"Silty clay loam"|"7964020"|"15311238"
"SIL"|"No "|"No "|"Silt loam"|"7964020"|"15607580"
"CL"|"No "|"No "|"Clay loam"|"7964021"|"15163067"
"L"|"No "|"No "|"Loam"|"7964021"|"15459410"
"SICL"|"No "|"No "|"Silty clay loam"|"7964021"|"15607581"
"L"|"No "|"No "|"Loam"|"7964022"|"15311239"
"CL"|"No "|"No "|"Clay loam"|"7964022"|"15459411"
"SIL"|"No "|"Yes"|"Silt loam"|"7964023"|"15607582"
"SIC"|"No "|"No "|"Silty clay"|"7964024"|"15163068"
"SICL"|"No "|"No "|"Silty clay loam"|"7964024"|"15311240"
"CL"|"No "|"No "|"Clay loam"|"7964024"|"15459412"
"SIL"|"No "|"No "|"Silt loam"|"7964025"|"15163069"
"CL"|"No "|"No "|"Clay loam"|"7964025"|"15311241"
"L"|"No "|"No "|"Loam"|"7964025"|"15607583"
"L"|"No "|"No "|"Loam"|"7964026"|"15163070"
"GR-L"|"No "|"No "|"Gravelly loam"|"7964026"|"15459413"
"SL"|"No "|"No "|"Sandy loam"|"7964026"|"15607584"
"SIL"|"No "|"Yes"|"Silt loam"|"7964027"|"15311242"
"CL"|"No "|"No "|"Clay loam"|"7964028"|"15459414"
"L"|"No "|"No "|"Loam"|"7964028"|"15607585"
"L"|"No "|"Yes"|"Loam"|"7964029"|"15163071"
"CL"|"No "|"No "|"Clay loam"|"7964030"|"15311243"
"SICL"|"No "|"No "|"Silty clay loam"|"7964030"|"15459415"
"SIC"|"No "|"No "|"Silty clay"|"7964030"|"15607586"
"CL"|"No "|"No "|"Clay loam"|"7964031"|"15163072"
"L"|"No "|"No "|"Loam"|"7964031"|"15311244"
"L"|"No "|"No "|"Loam"|"7964032"|"15163073"
"SICL"|"No "|"No "|"Silty clay loam"|"7964032"|"15459416"
"CL"|"No "|"No "|"Clay loam"|"7964032"|"15607587"
"CL"|"No "|"No "|"Clay loam"|"7964033"|"15311245"
"SICL"|"No "|"No "|"Silty clay loam"|"7964033"|"15459417"
"SIC"|"No "|"No "|"Silty clay"|"7964033"|"15607588"
"SR- SL SICL"|"Yes"|"Yes"|"Stratified sandy loam to silty clay loam"|"7964034"|"15163074"
"SIL"|"No "|"Yes"|"Silt loam"|"7964035"|"15311246"
"SIL"|"No "|"Yes"|"Silt loam"|"7964036"|"15459418"
"SIL"|"No "|"No "|"Silt loam"|"7964037"|"15163075"
"SICL"|"No "|"No "|"Silty clay loam"|"7964037"|"15607589"
"CL"|"No "|"No "|"Clay loam"|"7964038"|"15311247"
"C"|"No "|"No "|"Clay"|"7964038"|"15459419"
"L"|"No "|"Yes"|"Loam"|"7964039"|"15607590"
"SIC"|"No "|"No "|"Silty clay"|"7964040"|"15163076"
"C"|"No "|"No "|"Clay"|"7964040"|"15311248"
"CL"|"No "|"No "|"Clay loam"|"7964040"|"15459420"
"L"|"No "|"Yes"|"Loam"|"7964041"|"15607591"
"SIL"|"No "|"Yes"|"Silt loam"|"7964042"|"15163077"
"SIL"|"No "|"Yes"|"Silt loam"|"7964043"|"15311249"
"L"|"No "|"Yes"|"Loam"|"7964044"|"15459421"
"SIL"|"No "|"Yes"|"Silt loam"|"7964045"|"15607592"
"SIL"|"No "|"Yes"|"Silt loam"|"7964046"|"15163078"
"C"|"No "|"No "|"Clay"|"7964047"|"15311250"
"SIC"|"No "|"No "|"Silty clay"|"7964047"|"15459422"
"CL"|"No "|"No "|"Clay loam"|"7964047"|"15607593"
"CL"|"No "|"No "|"Clay loam"|"7964048"|"15163079"
"L"|"No "|"No "|"Loam"|"7964048"|"15311251"
"SIL"|"No "|"Yes"|"Silt loam"|"7964049"|"15459423"
"SIL"|"No "|"Yes"|"Silt loam"|"7964050"|"15607594"
"C"|"No "|"Yes"|"Clay"|"7964051"|"15163080"
"L"|"No "|"No "|"Loam"|"7964052"|"15311252"
"CL"|"No "|"No "|"Clay loam"|"7964052"|"15459424"
"SIL"|"No "|"Yes"|"Silt loam"|"7964053"|"15607595"
"L"|"No "|"No "|"Loam"|"7964054"|"15163081"
"CL"|"No "|"No "|"Clay loam"|"7964054"|"15311253"
"SICL"|"No "|"No "|"Silty clay loam"|"7964055"|"15459425"
"SIL"|"No "|"No "|"Silt loam"|"7964055"|"15607596"
"L"|"No "|"No "|"Loam"|"7964056"|"15163082"
"FSL"|"No "|"No "|"Fine sandy loam"|"7964056"|"15311254"
"SL"|"No "|"No "|"Sandy loam"|"7964056"|"15459426"
"CL"|"No "|"No "|"Clay loam"|"7964057"|"15163083"
"L"|"No "|"No "|"Loam"|"7964057"|"15607597"
"CL"|"No "|"No "|"Clay loam"|"7964058"|"15311255"
"C"|"No "|"No "|"Clay"|"7964058"|"15459427"
"GRV-LS"|"No "|"No "|"Very gravelly loamy sand"|"7964059"|"15163084"
"GR-S"|"No "|"No "|"Gravelly sand"|"7964059"|"15311256"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7964059"|"15607598"
"CL"|"No "|"No "|"Clay loam"|"7964060"|"15459428"
"L"|"No "|"No "|"Loam"|"7964060"|"15607599"
"SICL"|"No "|"No "|"Silty clay loam"|"7964061"|"15163085"
"SIL"|"No "|"No "|"Silt loam"|"7964061"|"15311257"
"SR- FSL CL"|"Yes"|"Yes"|"Stratified fine sandy loam to clay loam"|"7964062"|"15459429"
"L"|"No "|"Yes"|"Loam"|"7964063"|"15607600"
"CL"|"No "|"Yes"|"Clay loam"|"7964064"|"15163086"
"SICL"|"No "|"No "|"Silty clay loam"|"7964065"|"15311258"
"SIL"|"No "|"No "|"Silt loam"|"7964065"|"15459430"
"CL"|"No "|"No "|"Clay loam"|"7964066"|"15163087"
"L"|"No "|"No "|"Loam"|"7964066"|"15607601"
"SIL"|"No "|"Yes"|"Silt loam"|"7964067"|"15311259"
"SICL"|"No "|"No "|"Silty clay loam"|"7964068"|"15459431"
"SIL"|"No "|"No "|"Silt loam"|"7964068"|"15607602"
"SIC"|"No "|"No "|"Silty clay"|"7964069"|"15163088"
"C"|"No "|"No "|"Clay"|"7964069"|"15311260"
"SICL"|"No "|"No "|"Silty clay loam"|"7964069"|"15459432"
"CN-C"|"No "|"No "|"Channery clay"|"7964070"|"15163089"
"SIC"|"No "|"No "|"Silty clay"|"7964070"|"15311261"
"CN-SIC"|"No "|"No "|"Channery silty clay"|"7964070"|"15607603"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7964071"|"15459433"
"C"|"No "|"Yes"|"Clay"|"7964072"|"15607604"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7964073"|"15163090"
"CL"|"No "|"No "|"Clay loam"|"7964074"|"15311262"
"L"|"No "|"No "|"Loam"|"7964074"|"15459434"
"SIC"|"No "|"No "|"Silty clay"|"7964075"|"15163091"
"C"|"No "|"No "|"Clay"|"7964075"|"15311263"
"CL"|"No "|"No "|"Clay loam"|"7964075"|"15607605"
"L"|"No "|"Yes"|"Loam"|"7964076"|"15459435"
"SIC"|"No "|"No "|"Silty clay"|"7964077"|"15163092"
"CL"|"No "|"No "|"Clay loam"|"7964077"|"15311264"
"C"|"No "|"No "|"Clay"|"7964077"|"15607606"
"CL"|"No "|"No "|"Clay loam"|"7964078"|"15459436"
"L"|"No "|"No "|"Loam"|"7964078"|"15607607"
"SIC"|"No "|"No "|"Silty clay"|"7964079"|"15163093"
"C"|"No "|"No "|"Clay"|"7964079"|"15311265"
"CL"|"No "|"No "|"Clay loam"|"7964079"|"15459437"
"L"|"No "|"No "|"Loam"|"7964080"|"15163094"
"CL"|"No "|"No "|"Clay loam"|"7964080"|"15607608"
"CL"|"No "|"No "|"Clay loam"|"7964081"|"15311266"
"SIC"|"No "|"No "|"Silty clay"|"7964081"|"15459438"
"C"|"No "|"No "|"Clay"|"7964081"|"15607609"
"CL"|"No "|"No "|"Clay loam"|"7964082"|"15163095"
"L"|"No "|"No "|"Loam"|"7964082"|"15311267"
"CL"|"No "|"No "|"Clay loam"|"7964083"|"15459439"
"C"|"No "|"No "|"Clay"|"7964083"|"15607610"
"SR- VFSL SICL"|"Yes"|"Yes"|"Stratified very fine sandy loam to silty clay loam"|"7964084"|"15163096"
"SR- LS C"|"Yes"|"Yes"|"Stratified loamy sand to clay"|"7964085"|"15311268"
"SIL"|"No "|"Yes"|"Silt loam"|"7964086"|"15459440"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"7964087"|"15607611"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7964088"|"15163097"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7964089"|"15311269"
"SIL"|"No "|"Yes"|"Silt loam"|"7964090"|"15459441"
"SIL"|"No "|"No "|"Silt loam"|"7964091"|"15163098"
"SICL"|"No "|"No "|"Silty clay loam"|"7964091"|"15607612"
"SIL"|"No "|"No "|"Silt loam"|"7964092"|"15311270"
"L"|"No "|"No "|"Loam"|"7964092"|"15459442"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7964092"|"15607613"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7964093"|"15163099"
"CL"|"No "|"No "|"Clay loam"|"7964094"|"15311271"
"L"|"No "|"No "|"Loam"|"7964094"|"15459443"
"SCL"|"No "|"No "|"Sandy clay loam"|"7964094"|"15607614"
"SIC"|"No "|"No "|"Silty clay"|"7964095"|"15163100"
"SICL"|"No "|"No "|"Silty clay loam"|"7964095"|"15311272"
"CL"|"No "|"No "|"Clay loam"|"7964095"|"15459444"
"SIC"|"No "|"No "|"Silty clay"|"7964096"|"15163101"
"SICL"|"No "|"No "|"Silty clay loam"|"7964096"|"15311273"
"C"|"No "|"No "|"Clay"|"7964096"|"15607615"
"SIC"|"No "|"Yes"|"Silty clay"|"7964097"|"15459445"
"L"|"No "|"Yes"|"Loam"|"7964098"|"15607616"
"SIC"|"No "|"No "|"Silty clay"|"7964099"|"15163102"
"C"|"No "|"No "|"Clay"|"7964099"|"15311274"
"SICL"|"No "|"No "|"Silty clay loam"|"7964099"|"15459446"
"SIL"|"No "|"Yes"|"Silt loam"|"7964100"|"15607617"
"L"|"No "|"Yes"|"Loam"|"7964101"|"15163103"
"SIC"|"No "|"No "|"Silty clay"|"7964102"|"15311275"
"C"|"No "|"No "|"Clay"|"7964102"|"15459447"
"SICL"|"No "|"No "|"Silty clay loam"|"7964102"|"15607618"
"SR- L SICL"|"Yes"|"Yes"|"Stratified loam to silty clay loam"|"7964103"|"15163104"
"SG"|"No "|"Yes"|"Sand and gravel"|"7964104"|"15311276"
"SICL"|"No "|"No "|"Silty clay loam"|"7964105"|"15163105"
"L"|"No "|"No "|"Loam"|"7964105"|"15459448"
"CL"|"No "|"No "|"Clay loam"|"7964105"|"15607619"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7964106"|"15311277"
"SICL"|"No "|"No "|"Silty clay loam"|"7964107"|"15459449"
"SIL"|"No "|"No "|"Silt loam"|"7964107"|"15607620"
"SICL"|"No "|"No "|"Silty clay loam"|"7964108"|"15163106"
"SIC"|"No "|"No "|"Silty clay"|"7964108"|"15311278"
"C"|"No "|"No "|"Clay"|"7964108"|"15459450"
"SICL"|"No "|"No "|"Silty clay loam"|"7964109"|"15163107"
"L"|"No "|"No "|"Loam"|"7964109"|"15607621"
"L"|"No "|"No "|"Loam"|"7964110"|"15311279"
"FSL"|"No "|"No "|"Fine sandy loam"|"7964110"|"15459451"
"CL"|"No "|"No "|"Clay loam"|"7964110"|"15607622"
"SIC"|"No "|"No "|"Silty clay"|"7964111"|"15163108"
"C"|"No "|"No "|"Clay"|"7964111"|"15311280"
"SICL"|"No "|"No "|"Silty clay loam"|"7964111"|"15459452"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7964112"|"15607623"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7964113"|"15163109"
"C"|"No "|"Yes"|"Clay"|"7964114"|"15311281"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7964115"|"15459453"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7964116"|"15607624"
"FSL"|"No "|"No "|"Fine sandy loam"|"7964117"|"15163110"
"SL"|"No "|"No "|"Sandy loam"|"7964117"|"15311282"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7964118"|"15163111"
"SL"|"No "|"No "|"Sandy loam"|"7964118"|"15459454"
"FSL"|"No "|"No "|"Fine sandy loam"|"7964118"|"15607625"
"L"|"No "|"No "|"Loam"|"7964119"|"15311283"
"FSL"|"No "|"No "|"Fine sandy loam"|"7964119"|"15459455"
"SL"|"No "|"No "|"Sandy loam"|"7964119"|"15607626"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7964120"|"15163112"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7964121"|"15311284"
"L"|"No "|"No "|"Loam"|"7964122"|"15459456"
"CL"|"No "|"No "|"Clay loam"|"7964122"|"15607627"
