year,julian,month,day_of_month,Suct_mean_mm,Saturation_mean,TSW_mean_mm
1991,294,10,21,7.618989898989901,0.41818181818181804,17.584040404040383
1991,304,10,31,7.3392929292929265,0.43050505050505067,18.178989898989883
1991,313,11,9,7.294040404040409,0.4454545454545455,18.753333333333316
1991,319,11,15,7.184848484848489,0.4505050505050505,18.97545454545453
1991,328,11,24,7.20141414141414,0.4429292929292929,18.645252525252502
1991,329,11,25,7.206666666666668,0.44666666666666666,18.829898989898975
1991,334,11,30,7.078181818181821,0.4619191919191921,19.423232323232302
1991,342,12,8,5.745656565656566,0.5818181818181821,24.59979797979799
1991,353,12,19,6.234343434343434,0.5235353535353544,22.04040404040404
1991,357,12,23,6.260404040404042,0.5248484848484857,22.143030303030297
1991,358,12,24,6.263030303030304,0.5255555555555564,22.141818181818167
1991,362,12,28,5.486868686868686,0.5982828282828284,25.37828282828283
1991,363,12,29,4.447777777777775,0.6169696969696967,26.085757575757555
1991,364,12,30,4.049999999999997,0.6355555555555551,26.86454545454545
1992,3,1,3,2.904444444444444,0.7891919191919187,33.349393939393934
1992,7,1,7,1.6409090909090933,0.8270707070707072,35.076161616161585
1992,8,1,8,1.5435353535353555,0.8281818181818175,35.056868686868704
1992,9,1,9,1.294949494949497,0.889393939393939,37.68828282828283
1992,10,1,10,0.32999999999999996,0.915959595959595,38.70151515151518
1992,11,1,11,0.34,0.9421212121212115,40.002828282828226
1992,12,1,12,0.34,0.9495959595959608,40.05656565656567
1992,13,1,13,0.34,0.9510101010101026,40.34090909090908
1992,14,1,14,0.34,0.9510101010101026,40.115353535353506
1992,16,1,16,0.34,0.94121212121212,39.879595959596
1992,17,1,17,0.34,0.9510101010101026,40.32010101010101
1992,20,1,20,0.34,0.9507070707070722,40.120202020202065
1992,22,1,22,0.34,0.9413131313131304,39.94535353535357
1992,23,1,23,0.34,0.939090909090908,39.68171717171722
1992,24,1,24,0.34,0.92838383838384,39.397676767676714
1992,25,1,25,0.34,0.9346464646464635,39.43626262626266
1992,26,1,26,0.34,0.9430303030303046,39.95525252525253
1992,27,1,27,0.34,0.932323232323231,39.4731313131313
1992,35,2,4,0.5434343434343448,0.9079797979797987,38.54656565656563
1992,41,2,10,0.4540404040404049,0.9057575757575738,38.32545454545453
1992,42,2,11,0.3839393939393944,0.8984848484848483,38.07858585858585
1992,43,2,12,0.3787878787878793,0.8966666666666665,37.9308080808081
1992,44,2,13,0.37131313131313165,0.8894949494949502,37.69010101010101
1992,45,2,14,0.37191919191919237,0.8804040404040405,37.19565656565656
1992,46,2,15,0.37565656565656613,0.9084848484848465,38.46535353535354
1992,47,2,16,0.3367676767676768,0.9451515151515166,40.09161616161615
1992,48,2,17,0.34,0.9202020202020216,38.95969696969696
1992,50,2,19,0.34,0.9325252525252536,39.58767676767677
1992,51,2,20,0.34,0.9066666666666666,38.360606060606074
1992,52,2,21,0.34,0.9320202020202035,39.559090909090855
1992,54,2,23,0.34,0.921616161616163,38.950505050505
1992,57,2,26,0.34,0.9118181818181798,38.558585858585836
